"776","50973","Sector 3 TAM","2022-12-01","10:24 am","12349","Inc0053899","POS CORRECTIVOS","computo","cpu","Cerrado","OXXO SERCTOR 3
INC0053899
se revisa reporte por computadora que no prende se verifican conexiones y se reinicia ups bloqueada y se valida funcionamiento (consolidación y fin día)","OXXO SERCTOR 3
INC0053899
se revisa reporte por computadora que no prende se verifican conexiones y se reinicia ups bloqueada y se valida funcionamiento (consolidación y fin día)","0","Altamira UMI","Ciudad Victoria",NULL,"49"
"782","50XBK","Mina TAM","2022-12-29","11:37 am","12117","650249198","POS CORRECTIVOS","movilidad","impresora-","Cerrado","SE REVISA REPORTE POR IMPRESORA DE MOVILIDAD","SE REINICA CAJA 2 Y SE IMPRIME LO QUE ESTABA PENDIENTE SE VALIDA CONEXION CON AP Y SE HACEN PRUEBAS DE FUNCIONAMIENTO","0","Altamira UMI","Ciudad Victoria",NULL,"49"
"793","50DCO","Crit TAM","2022-12-11","12:35 pm","10671","0","Accesorios","accesorios","VIZ531Z086 Membrana para Teclado Nec Especial (OXXO) ","Cerrado","se instala membrana para teclado nec por mantenimiento","se instala membrana para teclado nec por mantenimiento","Carlos AlbertoRosales Prianti","Altamira UMI","Ciudad Victoria","2","49"
"815","5096D","Electricistas TAM","2022-12-01","19:34 pm","12391","Inc0058452","POS CORRECTIVOS","voz_y_datos","enlace","Cerrado",,"Se reinicia equipo y se valida funcionamiento","0","Altamira UMI","Ciudad Victoria",NULL,"49"
"816","50GKB","Ornato TAM","2022-12-01","19:37 pm","12392","Inc0058126","POS CORRECTIVOS","movilidad","impresora-","Cerrado","Se revisa reporte por impresora de movilidad se reinicia caja 2 y se imprime lo que estaba pendiente se valida funcionamiento ","Se revisa reporte por impresora de movilidad se reinicia caja 2 y se imprime lo que estaba pendiente se valida funcionamiento ","0","Altamira UMI","Ciudad Victoria",NULL,"49"
"898","50CZK","Vidal TAM","2022-12-02","15:48 pm","12122","Inc0065241","POS CORRECTIVOS","voz_y_datos","enlace","Cerrado","Se revisa reporte por intermitencia en enlaces se remiten equipos del site y se valida funcionamiento con servicios electrónicos","Se revisa reporte por intermitencia en enlaces se remiten equipos del site y se valida funcionamiento con servicios electrónicos","0","Altamira UMI","Ciudad Victoria",NULL,"49"
"899","50TML","Miralta TAM","2022-12-02","15:56 pm","12121","Inc0054188","POS CORRECTIVOS","movilidad","hand_held","Cerrado","Se revisa reporte por ap se valida que esté funcionando y de servicios a los equipos de movilidad ","Se revisa reporte por ap se valida que esté funcionando y de servicios a los equipos de movilidad ","0","Altamira UMI","Ciudad Victoria",NULL,"49"
"900","50TML","Miralta TAM","2022-12-01","20:46 pm","12389","INC0057315","POS CAMBIO TEC","requerimiento","renovacion","Cerrado","Cambio de Switch","Se realizan cambios de equipos Telcom por renovacion tecnologica, router y switch Meraki, se valida funcionamiento de equipos y servicios en cajas","0","Altamira UMI","Ciudad Victoria",NULL,"48"
"901","50TML","Miralta TAM","2022-12-01","20:49 pm","12390","INC0057315","POS CAMBIO TEC","requerimiento","renovacion","Cerrado","Cambio de Router","Se realizan cambios de equipos Telcom por renovacion tecnologica, router y switch Meraki, se valida funcionamiento de equipos y servicios en cajas","0","Altamira UMI","Ciudad Victoria",NULL,"48"
"902","50VIA","Villas TAM","2022-12-02","20:55 pm","12393","INC0062178","POS CORRECTIVOS","movilidad","tablet","Cerrado","Fallo en modulos de movilidad","Se detecta eliminacion de modulo en equipos de movilidad debido a una actualizacion","0","Altamira UMI","Ciudad Victoria",NULL,"48"
